Cryptogram,Encrypted Author,Rating,Quote,Author
"YN CVIGPT OL NLA GR WTO YCSSGTV: GK NLA KGEV C WLLV XGKT NLA’UU JT FCBBN; GK ELO, NLA’UU JTPLYT C BFGULRLBFTS.",RLPSCOTR,hard,"My advice to you is get married: If you find a good wife you’ll be happy; if not, you’ll become a philosopher.",Socrates
"SL FYD JIBG GY AZ XDEZ GUIG FYD BZQZE LYENZG FYDE JSLZ’X ASEGUKIF, WDXG GEF LYENZGGSBN SG YBTZ.",IRKY TIOOIEYGI,medium,"If you want to be sure that you never forget your wife’s birthday, just try forgetting it once.",Aldo Cammarota
"OLCTDL ATM ZWDDA W JLDFTV, ATM FXTMPN CGDFS ZWHL SXLZ MFL W ITZJMSLD QGSX FPTQ GVSLDVLS FLDRGIL ST FLL QXT SXLA DLWPPA WDL.",QGPP CLDDLPP,easy,"Before you marry a person, you should first make them use a computer with slow Internet service to see who they really are.",Will Ferrell
"AKPKO BOSJSBSHK ELDO XMLDXK’X QTDUJX; SQ SJ NKOKA’J QLO JGKW, ELDO WTJK WSYGJ GTPK QLDAI XLWKLAK CKJJKO JGTA ELD.",FTE JOTBGWTA,easy,"Never criticize your spouse’s faults; if it weren’t for them, your mate might have found someone better than you.",Jay Trachman
"EQHZRVY TP XRZZEQX GVWWERY VXVEQ, E’G XTEQX ZT PEQY V MTGVQ E YTQ’Z SEJR VQY XELR IRW V ITBHR.",WTY HZRMVWZ,easy,"Instead of getting married again, I’m going to find a woman I don’t like and give her a house.",Rod Stewart
DXHMGO DWP DMADJO DOZQLV BEQMXWPL AEDG GEPJ ADLG GU FP AEPL GEPJ VWUA HS FPBDHOP GEPJ’WP MUUZQLV KUW QXPDO.,SDHMD SUHLXOGULP,medium,Adults are always asking children what they want to be when they grow up because they’re looking for ideas.,Paula Poundstone
G HJPNJKS HGPJBS UX G HJPXIB ZUSE JLKJYYJBS KEUYF-PJGPUBQ SEJIPUJX GBF BI GKSTGY KEUYFPJB.,FGDJ CGPPM,medium,A perfect parent is a person with excellent child-rearing theories and no actual children.,Dave Barry
"BXOY KT IDDE NCE PFCE YD VDXW QGFZEWTC. CDY DCZV NWT YGTV YGT LXYXWT DL YGT MDWZE, YGTV’WT YGT DCTO MGD QNC OFIC VDX FCYD N GDRT.",ETCCFO RFZZTW,medium,"Just be good and kind to your children. Not only are they the future of the world, they’re the ones who can sign you into a home.",Dennis Miller
"VMWR J VDN D QJZ TB LDGWRCN TFXWZ D AFC, KHC J DAVDBN OFHRZ CMWT.",GFZRWB ZDRUWGOJWAZ,medium,"When I was a kid my parents moved a lot, but I always found them.",Rodney Dangerfield
"XE ZWF MNH UWG ZHYYXUT MG ZWFN QXAB, ZWF MNH UWG BCHUAXUT HUWFTI GXOH VXGI GIHO.",NHHBH VXGIHNBCWWU,easy,"If you are not yelling at your kids, you are not spending enough time with them.",Reese Witherspoon
"GCEU TOM MYSMIUCZM, C ECEI’X MZMI OMTKCFM QDV JODGM C VTU LIXCK KTUX NMTO UDWMDIM UXDKM WN CEMIXCXN TIE CX OLCIME QMO KCRM.",GTXM ETZCU,easy,"Kids are expensive, I didn’t even realize how broke I was until last year someone stole my identity and it ruined her life.",Kate Davis
L VEPG WR DXLFOUJP GZ XEAJ EFF GXJ GXLPMY L DZQFOP’G ENNZUO. GXJP L VEPG GZ WZAJ LP VLGX GXJW.,TXRFFLY OLFFJU,medium,I want my children to have all the things I couldn’t afford. Then I want to move in with them.,Phyllis Diller
HAZSZ MSZ HXU OTMFFZF UK HSMQZTKBSFH OTMFF MRV XBHA OABTVSZR.,SUJZSH JZROATZL,easy,There are two classes of travelfirst class and with children.,Robert Benchley
"RKDDOATMM OM RKCOAL K XKJLT, PKJOAL, PXWMT-ZAOQ NKUOXB OA KAWQRTJ POQB.",LTWJLT FYJAM,medium,"Happiness is having a large, caring, close-knit family in another city.",George Burns
"NZLK GPAD HZQMWDLK BDL ILLKBCLDX, QI’X QEVPDIBKI IP ZBUL B WPC XP IZBI XPELPKL QK IZL ZPAXL QX ZBVVG IP XLL GPA.",KPDB LVZDPK,medium,"When your children are teenagers, it’s important to have a dog so that someone in the house is happy to see you.",Nora Ephron
"C MXO ZLCEGLY C IXV ASMLPSZV, TLJYLQLJCREL, CRM ZX ZFJR CJXFRM ZGJLL ZSBLY ILAXJL PVSRO MXKR.",JXILJZ ILREGPLV,easy,"A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down.",Robert Benchley
"UX OGCI LGVPO BZPQ, UB HGVPO BZQD Z PGB GX XVR GVB GX GHRURC GRD.",ZRONDH Z. NGGRDW,easy,"If dogs could talk, it would take a lot of fun out of owning one.",Andrew A. Rooney
"VO RTC LMVFE BTIZ XWF’L XTCFL, LNR ACLLVFI LMNJJ BTI DVZXCVLZ VF RTCN ATXEJL WFB LMJF IVQVFI OVBT TFSR LHT TO LMJG.",AMVS AWZLTNJL,medium,"If you think dogs can’t count, try putting three dog biscuits in your pocket and then giving Fido only two of them.",Phil Pastoret
YZJ ONY OQVDF PJBS MJDD EJ WNH’R EJRY LBXJHF EVY MQVDF HJPJB RYQQK YQ NFWXYYXHT XY.,FQVT DNBRQH,easy,The cat could very well be man’s best friend but would never stoop to admitting it.,Doug Larson
GLOM LPT MELPOTP OWLF UVKM. XVA GLF’O KTO TNKWO GLOM OV CARR L MRTU OWPVAKW MFVB.,YTJJ QLRUTS,medium,Cats are smarter than dogs. You can’t get eight cats to pull a sled through snow.,Jeff Valdez
"QV UELPE RU OKQVRKQV K IPDD­-YKDKVHPL XPENXPHRQWP, RCP XPENUV ICU CKN K LUJ RU IUENCQX CQO NCUFDL KDNU CKWP K HKR RU QJVUEP CQO.","XPRPEYUEUFJC PMKOQVPE, HKVKLK",medium,"In order to maintain a well­-balanced perspective, the person who has a dog to worship him should also have a cat to ignore him.","Peterborough Examiner, Canada"
"SYPQRBJER PT NUBVR BFP, HBSR MUVU MPVRYZCCUE BR FPER. HBSR YBXU JUXUV TPVFPSSUJ SYZR.",BJPJNGPQR,easy,"Thousands of years ago, cats were worshipped as gods. Cats have never forgotten this.",Anonymous
AIPVDLF ZIV XHL’F QZR HA ZKHEHXPCPDX JH YF AHI HYI AZBPEPVF.,ZDHDRBHYF,medium,Friends are God’s way of apologizing to us for our families.,Anonymous
