Cryptogram,Encrypted Author,Rating,Quote,Author
"XTJVQT FVK LDQQF D WTQRVH, FVK RSVKAP JYQRB LDET BSTL KRT D NVLWKBTQ UYBS RAVU YHBTQHTB RTQOYNT BV RTT USV BSTF QTDAAF DQT.",UYAA JTQQTAA,medium,"Before you marry a person, you should first make them use a computer with slow Internet service to see who they really are.",Will Ferrell
"KTHLYFA RC OYLLKTO SFGGKYA FOFKT, K’S ORKTO LR CKTA F MRSFT K ART’L ZKIY FTA OKXY JYG F JRBHY.",GRA HLYMFGL,medium,"Instead of getting married again, I’m going to find a woman I don’t like and give her a house.",Rod Stewart
"TELG B TVZ V UBH NO MVSLGIZ NWALH V QWI, RYI B VQTVOZ JWYGH IELN.",SWHGLO HVGKLSJBLQH,medium,"When I was a kid my parents moved a lot, but I always found them.",Rodney Dangerfield
NJQGQ WGQ NYM RBWVVQV ML NGWIQB—LUGVN RBWVV WOZ YUNJ RJUBZGQO.,GMDQGN DQORJBQH,medium,There are two classes of travel—first class and with children.,Robert Benchley
"VLDDCZXQQ CQ VLGCZH L WLYHX, BLYCZH, BWEQX-SZCF JLACWR CZ LZEFVXY BCFR.",HXEYHX NKYZQ,medium,"Happiness is having a large, caring, close-knit family in another city.",George Burns
"LSGT NCHK YSVJWKGT QKG FGGTQRGKA, VF’A VUOCKFQTF FC SQMG Q WCR AC FSQF ACUGCTG VT FSG SCHAG VA SQOON FC AGG NCH.",TCKQ GOSKCT,medium,"When your children are teenagers, it’s important to have a dog so that someone in the house is happy to see you.",Nora Ephron
"DR HTC JPDMF VTOE AKM’J ATCMJ, JBH UCJJDMO JPBWW VTO NDEACDJE DM HTCB UTAFWJ KMV JPWM ODQDMO RDVT TMXH JIT TR JPWS.",UPDX UKEJTBWJ,medium,"If you think dogs can’t count, try putting three dog biscuits in your pocket and then giving Fido only two of them.",Phil Pastoret
ZIXT IWM TGIWXMW XOIS JBLT. EBK ZIS’X LMX MNLOX ZIXT XB YKCC I TCMJ XOWBKLO TSBQ.,VMDD UICJMF,medium,Cats are smarter than dogs. You can’t get eight cats to pull a sled through snow.,Jeff Valdez
"RZTILKWBL TY DXKNL KMT, PKRL HXNX HTNLZUJJXB KL MTBL. PKRL ZKFX WXFXN YTNMTRRXW RZUL.",KWTWDETIL,medium,"Thousands of years ago, cats were worshipped as gods. Cats have never forgotten this.",Anonymous
"QXP HWHFP QPFFA JA QB FBTP BJV CPWRXHBVA, LCI LFAB QB FBTP BJV PCPUWPA; NVBHLHFO HPMLJAP QXPO LVP RPCPVLFFO QXP ALUP NPBNFP.",R.Z. MXPAQPVQBC,medium,"The Bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people.",G.K. Chesterton
"DU CQE ZGLK KQ TLQZ ZIGK BQJ KIDLTW QU OQLAC, FQQT GK KIA SAQSFA IA BGMA DK KQ.",JQNQKIC SGNTAN,medium,"If you want to know what God thinks of money, look at the people he gave it to.",Dorothy Parker
"PGTQYG PQYYQNEOZ UQOGV TYQU K TYEGOF, FGMEFG NBEMB VQH OGGF UQDR.",KFFEDQO B. BKJJQMS,medium,"Before borrowing money from a friend, decide which you need most.",Addison H. Hallock
RCMCW ICCQ HQ DYNT NTC OJRCUCU. LWVP NTCZ LJDR NJ GJHW XCMCX. YN’U BTCVQCW.,AHCRNYR BWYUQ,medium,Never keep up with the Joneses. Drag them down to your level. It’s cheaper.,Quentin Crisp
"ABUAPB TKJ EUFBJ GT FUV VZB IBJ VU ZKAAGFBTT, CWV G ZKRB KPNKJT YGXWHBQ GY JUW ZKRB BFUWXZ EUFBJ, JUW SKF ZKRB K IBJ EKQB.",MUKF HGRBHT,medium,"People say money is not the key to happiness, but I have always figured if you have enough money, you can have a key made.",Joan Rivers
