Cryptogram,Encrypted Author,Rating,Quote,Author
"WN LHCRUP SB NBZ RG TPS WLYYRPH: RM NBZ MREH L TBBH XRMP NBZ’AA DP OLKKN; RM EBS, NBZ’AA DPUBWP L KORABGBKOPY.",GBUYLSPG,easy,"My advice to you is get married: If you find a good wife you’ll be happy; if not, you’ll become a philosopher.",Socrates
CDEX CXDDVD SZ CV ARNX EF VMX HVDMSMK RMT TSZUVIXD CLRC PVED LSKL ZULVVO UORZZ SZ DEMMSMK CLX UVEMCDP.,NEDC IVMMXKEC,easy,True terror is to wake up one morning and discover that your high school class is running the country.,Kurt Vonnegut
JZP BSJ BQFKI TPUA GPKK RP DSH’N RPNJ YUWPHI RFJ GQFKI HPTPU NJQQX JQ SIDWJJWHL WJ.,IQFL KSUNQH,easy,The cat could very well be man’s best friend but would never stoop to admitting it.,Doug Larson
ZO REF RPLF OTQ’VF 80 OFKVC TIA OTQ’GF IFKVJFA FGFVOREPJM. OTQ TJIO EKGF RT VFLFLZFV PR.,MFTVMF ZQVJC,easy,By the time you’re 80 years old you’ve learned everything. You only have to remember it.,George Burns
"QH AYL LQL CYE QCEICL HYP BV EY IKE KCQSKOV, EMIC UMN LQL MI SKDI EMIS YBE YH SIKE?",TYMC WOIIVI,easy,"If God did not intend for us to eat animals, then why did he make them out of meat?",John Cleese
"E PQA SXEDIXM E TQL HKPXBKSL, CXUMXWXUERDX, ERP SQ SZUR EUQZRP SIUXX SKGXM TXHQUX BLKRA PQVR.",UQTXUS TXRDIBXL,easy,"A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down.",Robert Benchley
"ACGP HCG AQLHYGFF QFSGI LZ L AQPHGI UO ELWWQ MRH LPHN ZNRY NY GLTCH FBLMGF, L FQLI, ‘ZNRY. L INP’H HCLPS L MQP GQH GLTCH.'",ONTL JGYYQ,easy,"When the waitress asked if I wanted my pizza cut into four or eight slices, I said, ‘Four. I don’t think I can eat eight.'",Yogi Berra
"GW TYB WTYRXGRE WJPVQBI MJRPQX YI PT LJBQ JCTYP PVQ BQIP TW PVQ MTBOX, PVQK MTYOXR’P VJDQ XQLOJBQX PVQGB GRXQZQRXQRLQ WBTH GP.",IPQZVQR LTOCQBP,easy,"If our Founding Fathers wanted us to care about the rest of the world, they wouldn’t have declared their independence from it.",Stephen Colbert
K DORH XP QIKNJZGR HT IOCG ONN HIG HIKRFV K QTENJR’H OAATZJ. HIGR K DORH HT XTCG KR DKHI HIGX.,BIPNNKV JKNNGZ,easy,I want my children to have all the things I couldn’t afford. Then I want to move in with them.,Phyllis Diller
JSZF PGXJF MGTTWKFJJ NMFYFDFY CMFL OS; SCMFYJ NMFKFDFY CMFL OS.,GKSKLZSXJ,easy,Some cause happiness wherever they go; others whenever they go.,Anonymous
"MJFP OX SCCQ TZQ BGZQ PC ICJK YUGAQKXZ. ZCP CZAI TKX PUXI PUX LJPJKX CL PUX DCKAQ, PUXI’KX PUX CZXF DUC YTZ FGSZ ICJ GZPC T UCWX.",QXZZGF WGAAXK,easy,"Just be good and kind to your children. Not only are they the future of the world, they’re the ones who can sign you into a home.",Dennis Miller
EXJMYU EQR EMNEKU EUDWVI SAWMXQRV NAEY YARK NEVY YZ CR NARV YARK IQZN JH CRSEJUR YARK’QR MZZDWVI TZQ WXREU.,HEJME HZJVXUYZVR,easy,Adults are always asking children what they want to be when they grow up because they’re looking for ideas.,Paula Poundstone
"KYSYD WDCPCWCUY ZMOD VGMOVY’V QIOBPV; CQ CP FYDYK’P QMD PNYT, ZMOD TIPY TCJNP NISY QMOKX VMTYMKY HYPPYD PNIK ZMO.",RIZ PDIWNTIK,easy,"Never criticize your spouse’s faults; if it weren’t for them, your mate might have found someone better than you.",Jay Trachman
LZ MOAHDHCHID IA UD HDCOGGOSCBUG HK KILOIDO VEI SUD GHKCOD CI CEO VHGGHUL COGG IROWCBWO VHCEIBC CEHDPHDX IA CEO GIDO WUDXOW.,JHGGZ SIDDIGGZ,easy,My definition of an intellectual is someone who can listen to the William Tell Overture without thinking of the Lone Ranger.,Billy Connolly
"SP KZY IEU HZV KUXXSHJ IV KZYE DSLM, KZY IEU HZV MQUHLSHJ UHZYJR VSTU CSVR VRUT.",EUUMU CSVRUEMQZZH,easy,"If you are not yelling at your kids, you are not spending enough time with them.",Reese Witherspoon
DAOUWJO CTW SMZZX OWG YWAMO HDA’S UGO TDBBRAMXX AMQMI TDJ DAO.,XDYGMZ Z. EDHPXWA,hard,Anybody who tells you money can’t buy happiness never had any.,Samuel L. Jackson
LSYIBIU DRMC ZYAIF XRA’O EQF SRJJMAIDD DMZJKF CMCA’O GAYL LSIUI OY WY DSYJJMAW.,EY CIUIG,hard,Whoever said money can’t buy happiness simply didn’t know where to go shopping.,Bo Derek
"ZVB DNN WECQOWDNK DIC SDH. YOBEVLB EMHIVXCZ DZH VFMXCZ, AVI CFDQUNC, BECIC YVLNH SC ZV YDM BV QDRC YDBCI, D GOBDN OZXICHOCZB OZ SCCI.",HDGC SDIIM,hard,"Not all chemicals are bad. Without hydrogen and oxygen, for example, there would be no way to make water, a vital ingredient in beer.",Dave Barry
HZLHIZ DKL QKSYM QKZW MYLD ZJZUWQKSYN XUZ X NUZXQ XYYLWXYAZ QL QKLEZ LO PE DKL BL.,SEXXA XESRLJ,hard,People who think they know everything are a great annoyance to those of us who do.,Isaac Asimov
"GW IDEHQHUE HU UIQXIWX SLI PGBBU IPP ELX XQDHOX UEGEX ANHBZHWC, GWZ GPEXO 50 PBIIOU UGFU, ‘UI PGO UI CIIZ!'",GWIWFQINU,hard,"An optimist is someone who falls off the Empire State Building, and after 50 floors says, ‘So far so good!'",Anonymous
BKT XHBPDPGB HVXUCQPDG BKQB FT CPZT PJ BKT MTGB XY QCC HXGGPMCT FXVCOG; QJO BKT HTGGPDPGB YTQVG BKPG PG BVLT.,EQDTG MVQJUK UQMTCC,hard,The optimist proclaims that we live in the best of all possible worlds; and the pessimist fears this is true.,James Branch Cabell
VHCTQLU FHT YXL’U EFZ XV FAXNXYCDCQY RX JU VXH XJH VFICNCTU.,FQXQZIXJU,hard,Friends are God’s way of apologizing to us for our families.,Anonymous
"SFZ QZUEZS TA QSMCDGX CTVGX DQ ST NDWZ FTGZQSNC, ZMS QNTKNC, MGB NDZ MPTVS CTVE MXZ.",NVUDNNZ PMNN,hard,"The secret of staying young is to live honestly, eat slowly, and lie about your age.",Lucille Ball
FJIFWV EB KB BKYLM OLBOJL’V CAQLMFJV; BKYLMIHVL KYLW IBQ’K NBRL KB WBAMV.,WBEH ZLMMF,hard,Always go to other people’s funerals; otherwise they won’t come to yours.,Yogi Berra
"EN HASB VAWUH KOUR, EK CAWUH KORZ O UAK AN NWD AWK AN ACDEDS ADZ.",ODHGZC O. GAADZQ,hard,"If dogs could talk, it would take a lot of fun out of owning one.",Andrew A. Rooney
"PR CAF GMLU UA QW IFJW UTMU CAF LWEWJ RAJNWU CAFJ GPRW’I QPJUTSMC, DFIU UJC RAJNWUUPLN PU ALBW.",MVSA BMZZMJAUM,hard,"If you want to be sure that you never forget your wife’s birthday, just try forgetting it once.",Aldo Cammarota
"EI GMSTM RG JDEIRDEI D PTOO­-UDODIFTS HTMBHTFREQT, RZT HTMBGI PZG ZDB D SGC RG PGMBZEH ZEJ BZGWOS DOBG ZDQT D FDR RG ECIGMT ZEJ.","HTRTMUGMGWCZ TKDJEITM, FDIDSD",hard,"In order to maintain a well­-balanced perspective, the person who has a dog to worship him should also have a cat to ignore him.","Peterborough Examiner, Canada"
"VTEC OFU UYNUHCTQU, T ETEH’Z UQUH FUORTDU SAM GFAVU T MOC LHZTR ROCZ WUOF CAJUAHU CZARU JW TEUHZTZW OHE TZ FLTHUE SUF RTBU.",VOZU EOQTC,hard,"Kids are expensive, I didn’t even realize how broke I was until last year someone stole my identity and it ruined her life.",Kate Davis
L IREPRJF ILERTF NW L IREWAT GNFV RBJRKKRTF JVNKZ-ERLENTM FVRAENRW LTZ TA LJFHLK JVNKZERT.,ZLYR OLEED,hard,A perfect parent is a person with excellent child-rearing theories and no actual children.,Dave Barry
"SIEFUS OZUT EQI DHCOD UH WIIF TUZGCK THVIKEB, FBCOD CO SHTGCUEFT KBCOD HW OHUSCOD.",QIKK WHJ,medium,"Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.",Redd Fox
NU KWQUJSE WNBSF QUWMZHY DUWEFD NBBAL. VBS GWV MZU BJ W GZLOQZHF.,GWQA FXWZH,medium,Be careful about reading health books. You may die of a misprint.,Mark Twain
"BQ BC TCSISCC QH QUK QH DHIY M ASUCHV QH MVKQDBVZ DS CMKC ODBIS DS’C FMYIK BV IHGS, YUTVX, HU UTVVBVZ LHU HLLBPS.",J. JBUYCHVZ,medium,"It is useless to try to hold a person to anything he says while he’s madly in love, drunk, or running for office.",B. Birdsong
PSL BVYH PRFL ABFL CLYYBIA OQL LWLQ ALLV IRPS PSLRQ IRWLA RA OCPLQ PSLH’WL DLLV RVERXPLE.,URV SGDDOQE,medium,The only time some fellows are ever seen with their wives is after they’ve been indicted.,Kin Hubbard
NJQGQ WGQ NYM RBWVVQV ML NGWIQB—LUGVN RBWVV WOZ YUNJ RJUBZGQO.,GMDQGN DQORJBQH,medium,There are two classes of travel—first class and with children.,Robert Benchley
"ZG PM GZYJM HQK XQU’M JKBBVVX, MYH, MYH PWPZU. MFVU IKZM. MFVYV’J UQ KJV CVZUW P XPLU GQQR PCQKM ZM.",O.B. GZVRXJ,medium,"If at first you don’t succeed, try, try again. Then quit. There’s no use being a damn fool about it.",W.C. Fields
"TELG B TVZ V UBH NO MVSLGIZ NWALH V QWI, RYI B VQTVOZ JWYGH IELN.",SWHGLO HVGKLSJBLQH,medium,"When I was a kid my parents moved a lot, but I always found them.",Rodney Dangerfield
"U RGJH NC AWH BNSQ GM TUS VWG, VWHS ZGP UCB WNT WGV WH NC, WH AHFFC ZGP.",LWUSSNSO DGFFGLB,medium,"A bore is the kind of man who, when you ask him how he is, he tells you.",Channing Pollock
WPJ MJKJG DJUW YEJFW YMUJGGXLU UPJ JFWQ ODIH IO PJG SIMKJGWFUYIM.,RJFM HJCWUJG,medium,She never lets ideas interrupt the easy flow of her conversation.,Jean Webster
