ciphertext,difficulty
YR JRNY RK MN IRYGCIA CN NR CITCNCZVP WN WI MIQVPWNWIY YSMYG YGRMAG CY CN GPVH ZPKRSP RMS PXPN QMNGPH MIHPS RMS IRNPN SWJJPH HRDI RMS YGSRWYN DP FIRD CY IRY,hard
SH CWIIGO QHM FAHM IQG XJAC FYJOJI WAMWBF FIWSZF FIJAA AHSN GSHVNQ XHO IQG YQHIHNOWYQGO JI QWF LQHFGS,hard
OQPSJWH NFQBTW MJWQ OPWEQO FKO VQORQVWJFT FA OQPSJWH MJWQB,medium
SVO NPI SVCS AFXEJ SPP JSBFGSWL JXCDJ FSJOWZ,hard
GVKDUJ EGUTUET UN I JEAGEVTM EZ ZEDDP HLIWTLNN GBLCVMUJL HBETF ZLLDUTF BUFXR ZLLDUTF EKNRUTIJP ITM TLHNGIGLB GIBIFBIGXN,medium
LMAT YMA CVRAPNQWQOI LAOPQAC SA QY LAOPQAC SA CF SVWM YMOY Q TAAH OT OUDCC QT FPHAP YF PACY,medium
FOODHU BQAH HCYTU UQ SFLD F GDP SCOUFLDO CG RDQRVD KFJU FKKDRU BQAH CSRDHGDKUCQJO UTFUO UTDCH GFAVU,easy
GWIFANPPXPZUI FNP DZP DL UBP LJZGFXPZUFC VDIWUWMP FIVPOUI DL IOWPZOP,medium
G VBERPK ID BDHRGFKGY ZGH EBOP BV RZBRRPK TGL G WCRRID RI YGOP AIC YIKP XEPSPK,medium
KLE XVE V SMFVU ELO XKG HLMEU LORFOUFN QGOEQLGIEOFEE TFU IE TGEF LU HGM V HFX KGIME,hard
SWLV ITXIUT ATUETZT CPTV WDT WCCDWYCTG AV OXG XD AV LWCHDT NPTL CPTV WDT XLUV DTITUUTG AV SWL,medium
BHZ YRR WPDLUY CLJ BHZ YCB TPB EZW D JGRCO WPDLUY WPCW LRXRG TRGR CLJ D YCB TPB LHW,easy
U DIMUIQI OIXZJAFJB UH ZGA VAIFSIHS IPRZAS FS MIFHS GESUM JLUEF NUVGAIH ZGS F TFB SZ HSFXR US ZGS ZN RMFHSUJ NZA SLAII JIESH F GEUS,medium
JLZ SGGEKFL VBR CKDMZR WTVDJKDZ GS WTGSVBZ DQTFKBX VBR FCZVTKBX KF V OKDZ FG UZVB VBR EGC JLVJ ZOZTA WZTFGB GS FZBFZ VBR DLVTVDJZT RZJZFJF VBR RZFWKFZF KJ,medium
ONBBENDU EJ N REHT LQ VBEJLH QLB NHCLHU IALJ OEJUBNFYU EH EX OUH NHT ILOUH NYERU NHT NHCLHU IALJ JGQQUBUT XABLGDA TEQQEKGYX VUBELTJ EH ONBBENDU TBUNOJ LQ UJKNVU QBLO EX,medium
NVRUR OML M GSLNIUCMKBR SK DX VRMUN M TWSBR NVMN LJWPR NVRUR MKG LMSG S OMKN S OMKN S OMKN SN VMJJRKRG RTRUX MENRUKWWK MKG OVRK S NUSRG NW LIJJURLL SN SN YWN RTRK LNUWKYRU,medium
USGZBKG EQSLDEGSBD GZLFL MED HL DB JBQSGSMO,easy
IUR ESPX JVD V FPTYJVZZUP MTFVQTFE RJTGJ BPTMUD ESH TIDVIU RTFJ PUDFQUDDIUDD TO ESH JVMU IS TIIUP DFVLTQTCUP,hard
FRKKWFJ VXJ CWLTI CJLJ WQTE WQJ WU SWIF MWZJF CWRTI EWR CWLZ HQE VXJ TJFF VW BHZJ GV H SWWI MWZJ GQFVJHI WU H AHI WQJ,hard
XERYSQEO WANXYNK IR SPGXE INQEOM QM XHANXKR QE YSN OANXY ILLF LJ EXYPAN,medium
UAK OMM YMS XMAXQM DMLM BR ZGMLBFZ SDA LMZQQU FZLM EMLU GKFD ZIAKW QBEBRN Z FDLBOWBZR QBYM BR Z CMGAFLZWBF SALQC,easy
LBA LIRA RDQOAINQLX ZW LBANA SUXN QN U PZCCAPLQZD ZW JZZEN,hard
FYKW WNFDK JDZD KY IYAXKDC YT JQLW JD WQNTU JD JLTW WQLW JD ALTW LGGZDANLWD QYJ QLGGS JD LMZDLCS LZD,medium
OK ZLGDS GAJYXXAJSLYU LD SEIS YZ I MTQXA JIXX,medium
NI NDLTM YU NL ZTUL N XTQL NIC NL RQNUL NI QILQMLNYIQM,medium
IVOHBI TMW DOIMNIP XL AGWNHOL MQIOGDM TMW DOIMNIP XL BAGSHWHBAL,hard
ZRZFCI XO UJR QEI QR PRRV URMMXDL FYCORMKRO FYC OUFCXRO EDN URMMXDL FUJRC VRFVMR E OFZRQJEU NXSSRCRDU KRCOXFD FS FYC OUFCXRO,medium
EJGLV VXKV SUE YDGEY NXJ VXPPJI XI BUHE YUHN PEJGO PJJQ SUE JCJEB PEJGO QEJLJPJY DVJ KUGN,medium
VRG ZSXJ ISGW SD VRG FBTWG GDETXGW VRG RSAG WVYNN NYLGW BDE VRG EXGBPW WRBNN DGLGX EYG,medium
QOGGHJWBB HB O TASSWLCVK DQHMQ DQWJ GALBAWX HB OVDOKB FABS TWKIJX KIAL ZLOBG TAS DQHMQ HC KIA DHVV BHS XIDJ YAHWSVK UOK OVHZQS AGIJ KIA,medium
WAYKY NKYQW NQP GNBMENT RIKZO KYNTTP RIKZO LVOW AITZ WAY GNBME,medium
PV BVPGJYTF DFVHJBQ XYDFVLTG YVFT HFWGQXBWCCM MTWF WSQTF MTWF QIWP QIT BVYDJQTF,medium
